name,image_link,price,rating,merchant_name,description
Samsung Galaxy A24 LTE 8/128GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/2/759b3710-32c1-4c50-b3fa-f2c556202888.jpg.webp?ect=4g,Rp3.359.500,5.00,Samsung Official Store,
Xiaomi Redmi 12c 3/32GB 4/64GB 4/128GB,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp1.013.000,5.00,Myfon Teleshop Official,
Infinix Note 30 Pro 8/256 GB Garansi Resmi Note 30 8 GB 256 GB Not 30i,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp2.100.000,5.00,Distributor Ponsel,
Samsung Galaxy A24 8/128 GB Garansi Resmi,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp2.972.000,5.00,duniagadgetku,
"vivo iQOO Z7x 8/128 - 80 watt + 6000 mAH, Snapdragon 695 - Tropical Blue",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/3/ce1c5552-99cb-4ed8-ab6e-becb894a02d5.jpg.webp?ect=4g,Rp2.809.000,5.00,vivo Indonesia,
Realme C51 4/128GB - 4/64GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/9/d425a777-0a01-4ba7-b1cc-b755b5a3c141.jpg.webp?ect=4g,Rp1.399.000,5.00,ALL_SHOPE99,
HP Flip 2720 FLIP DUAL SIM HP JADUL LIPAT 2G Dual Sim Lipat Phone,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/14/a42f79c0-dfcc-4a90-82e8-36b930d2f96f.jpg.webp?ect=4g,Rp313.000,5.00,Cupid.,
Samsung Galaxy S21 5G 8/256GB - Phantom White,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/1/1475b7da-1b6e-4403-b2cf-06c4407e6ae3.jpg.webp?ect=4g,Rp7.999.000,5.00,H2 - Samsung Authorized,
"vivo iQOO Z7x 8/256 - 80 watt + 6000 mAH, Snapdragon 695",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/3/a2727498-ef18-4114-b2be-943cb0169e47.jpg.webp?ect=4g,Rp3.215.000,5.00,vivo Indonesia,
Samsung Galaxy A24 5G / LTE 8/128GB Garansi Resmi Samsung A23 8 GB 128,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/13/d2a79770-61a6-44c8-ba99-33541b63adbf.jpg.webp?ect=4g,Rp3.067.000,5.00,Distributor Ponsel,
XIAOMI OFFICIAL Redmi Note 12 Pro 5G Kamera 50MP Sony IMX766 P-OLED,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/25/7911c9c7-b0bd-4196-9be3-ef1067d5e50a.png.webp?ect=4g,Rp4.399.000,5.00,Xiaomi Official Store,
Samsung Galaxy Z Fold 5 5G 12/256GB 12/512GB 12/1TB - Fold5 RESMI SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/17/9f1d21ac-dbb7-4f77-8a03-fa07ba937b17.jpg.webp?ect=4g,Rp22.254.000,5.00,Dewa Ponsel Rakyat,
"[New POVA Series] TECNO POVA 5 Pro 5G – Dimensity 6080 5G, 8+8GB+256GB",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/14/9e806c4e-89e1-4c7c-b8f8-3fac921de245.jpg.webp?ect=4g,Rp2.599.000,5.00,TECNO Authorized Store,
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi Not Redmi 10 10A 12C,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/30/60f74fa0-0d9a-4363-a33f-ef96d622af60.jpg.webp?ect=4g,Rp1.867.000,5.00,Dewa Ponsel Rakyat,
RESMI Samsung Galaxy Z Fold5 1TB 512GB 256GB RAM 12GB Fold 5 SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/27/c10316cc-3c4a-4cd3-b546-39e5f226833d.jpg.webp?ect=4g,Rp22.315.000,5.00,Studio Ponsel,
Samsung Galaxy A14 5G 6/128GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/15/f85bdd04-8f3c-4868-a3e6-17cd13845116.jpg.webp?ect=4g,Rp2.687.500,5.00,Samsung Official Store,
Samsung Galaxy A34 5G,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/18/3b6afe7f-36bd-4637-8542-790df8773cd3.jpg.webp?ect=4g,Rp4.068.000,5.00,jikalaku,
Vivo V29 5G 12/512 GB 8/256 GB Garansi Resmi Not V27 5G V27e v29e,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/4/6c586f55-7d7a-4978-a877-980a628d2cce.jpg.webp?ect=4g,Rp5.040.000,5.00,Distributor Ponsel,
Infinix Note 30 Pro NFC 8/256GB Garansi Resmi Not Smart 6 plus Hot 30i,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/5/40c29614-7f92-44ba-834b-1014d2222546.jpg.webp?ect=4g,Rp1.450.000,5.00,Dewa Ponsel Rakyat,
Xiaomi Redmi 12C 3/32GB + 4/64GB + 4/128GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/7/ff3d4c45-2cba-4dbc-b24b-788dfb8316df.jpg.webp?ect=4g,Rp1.032.000,5.00,duniagadgetku,
VIVO Y17S 4/64 6/128 RAM 4 6 ROM 64 128 GB 4GB 6GB 64GB 128GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/22/1e576f23-4e9a-4052-bdaa-1a1f66e14c56.jpg.webp?ect=4g,Rp1.429.000,5.00,SUPER_GADGET,
Tecno Spark 10 Pro 8/256 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/24/84b3a29a-dad0-461e-b127-35c191c6254d.jpg.webp?ect=4g,Rp1.680.000,5.00,duniagadgetku,
Samsung S23 Ultra 12/512GB 12/1TB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/16/ddc993f8-8c09-467f-9c46-e94993a1d785.jpg.webp?ect=4g,Rp16.949.000,5.00,Myfon Teleshop Official,
"vivo iQOO Z7 (8/128) - SDM 782G, 120W FlashCharge + 5000mAh, 64MP OIS",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/16/bb31407d-fc0c-4c62-b394-7b57b258935b.jpg.webp?ect=4g,Rp3.739.000,5.00,vivo Indonesia,
Realme 10 8/128GB + 8/256GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/6/7686e2a1-e4dd-4dc2-be7a-746d92deb1ff.jpg.webp?ect=4g,Rp2.340.000,5.00,36shop,
Anker 312 Charger 25W PPS PD SFC Fast Charging USB Type C - A2642,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/9/8f292421-829b-4d36-b8bd-9b9eacc61f51.jpg.webp?ect=4g,Rp113.500,5.00,ZTH Official,
Official Xiaomi Redmi Note 12 Pro Kamera Quad 108MP 120Hz Layar AMOLED,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/25/2a04cf00-ecdd-45de-812a-53165a6c67f7.png.webp?ect=4g,Rp3.299.000,5.00,Xiaomi Official Store,
"XIAOMI OFFICIAL POCO X5 5G Snapdragon 695 5G Layar 120Hz AMOLED 6,67""",https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/25/5bf0b178-d391-4974-a42a-035c16bf23a2.png.webp?ect=4g,Rp2.999.000,5.00,Xiaomi Official Store,
Vivo V29 5G 12/512GB NFC Snapdragon 778G 80W FlashCharge Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/26/72616643-8bba-43c8-80a3-9c98ec5073bf.jpg.webp?ect=4g,Rp5.016.000,5.00,Super Hp Store,
Samsung Galaxy A04s 4GB/128GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/5/e4415d89-c591-44c6-878d-348aca1d229c.jpg.webp?ect=4g,Rp1.710.000,5.00,Samsung Official Store,
Xiaomi Redmi Note 12 RAM 6/128 4/128 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/15/337f9a3b-8763-4a10-a016-be8d7cb155b3.jpg.webp?ect=4g,Rp2.010.000,5.00,Global Teleshop,
Realme 10 4/128GB + 8/128GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/10/ec9859d6-70a7-4625-9969-bf9885d8d6ec.jpg.webp?ect=4g,Rp2.386.000,5.00,duniagadgetku,
Samsung Galaxy A14 4G 6/128 GB 4/128 GB Garasni Resmi Samsung A14,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/2/9116858c-0929-4a9b-9f23-3dd30a5739d1.jpg.webp?ect=4g,Rp1.362.000,5.00,Distributor Ponsel,
Xiaomi Poco F5 F5 Pro 5G 12/256 GB 8/256 GB Garansi RESMI not F4 GT F1,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/14/d7a521a7-4b0e-4261-9656-d7ae179ef902.jpg.webp?ect=4g,Rp7.999.000,5.00,Onestop Ponsel,
VIVO V29 5G 8/256 12/512 GB RAM 8 12 ROM 256 512 8GB 12GB 256GB 512GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/6/e86b38cd-b451-40dc-9de9-3d0fd301d716.jpg.webp?ect=4g,Rp5.074.000,5.00,SUPER_GADGET,
Infinix Note 30 8/256 GB Garansi Resmi 1 Tahun,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/14/c2e9edfe-5955-4385-84e5-111e9fd168ba.jpg.webp?ect=4g,Rp1.948.000,5.00,NEW ERA PONSEL,
(RESMI) Samsung Galaxy Z Fold 5 5G 256GB 512GB 1TB Ice Blue Black SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/2/96f116bc-8932-4b98-a990-2c267166a257.jpg.webp?ect=4g,Rp21.349.000,5.00,Putra Group,
INFINIX NOTE 30 8/256GB [+8GB Extended RAM] Garansi Resmi 1 Tahun,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/9/b5f18d32-bcec-4d79-ac90-9b8f14b59d4d.jpg.webp?ect=4g,Rp1.997.500,5.00,Digital_Tech,
Asus ROG Phone 7 Ultimate 16/512 12/256 8/256 Not Rog Phone 6 Pro,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/18/6a4d9f52-0e68-4a19-a87e-55fd35a962d3.jpg.webp?ect=4g,Rp8.225.000,5.00,Onestop Ponsel,
Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp15.609.000,5.00,iSmile Official Store,
XIAOMI REDMI 12C 4/128 GB GARANSI 1 TAHUN,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp999.000,5.00,daystore_id,
Apple iPhone 11 Garansi Resmi - 64GB 128GB,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp7.209.000,5.00,iSmile Official Store,
Infinix Note 30 Pro 8/256 GB Garansi Resmi 1 Tahun,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp2.496.000,5.00,NEW ERA PONSEL,
Samsung Galaxy A04 RAM 4/64GB,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC",Rp1.199.000,5.00,Ciceri cellular,
